год попадания,автор/авторы,книга,цикл,аннотация,оценка *,оценка цифрой,этап,№ обзора,Ссылка на выпуск обзора,Ссылка на роман,Перенесено в этот файл из других источников,Комментарии переносов,Редакция строки,,,линк,,время,Review,StoryYear,,,,Служебные отметки,LC
2016,Москаленко Юрий,3. Нечестный штрафной. книга 2. часть 1.,Спартаковская футболка - или игра в офсайде,"Отстёгнутая чека. Твоё тело на ящике, забитом эфками. Верный АК, отброшенный точным попаданием снайпера... Развалины Пальмиры... Сильная боль в перебитых ногах... и ухмылки бандерлогов в чёрном... бородатые твари что-то там щебечут не по-нашему... Сползающие ухмылочки с лиц ублюдков Игил... Щелчок взрывателя гранаты и последние мысли о любимой... Забытая богиня здоровья и счастья... и это высвобождение энергии на месте храма ей посвящённого... столько крови и душа того, кто столько жертв принес в честь неё, врачевателя, да и просто красивейшей женщины. Дорога Комсомольск - Хабаровск... занос на повороте авто от японского производителя... скорость слегка подкачала, как и лопнувшее колесо... Новая жизнь, и как ей теперь распорядиться на фоне опыта прошлого?",***,3,закончено,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/58712,,,#Н/Д,2016,,,,+++++,
2016,Москаленко Юрий,4. Нечестный штрафной. книга 2. часть 2.,Спартаковская футболка - или игра в офсайде,"Отстёгнутая чека. Твоё тело на ящике, забитом эфками. Верный АК, отброшенный точным попаданием снайпера... Развалины Пальмиры... Сильная боль в перебитых ногах... и ухмылки бандерлогов в чёрном... бородатые твари что-то там щебечут не по-нашему... Сползающие ухмылочки с лиц ублюдков Игил... Щелчок взрывателя гранаты и последние мысли о любимой... Забытая богиня здоровья и счастья... и это высвобождение энергии на месте храма ей посвящённого... столько крови и душа того, кто столько жертв принес в честь неё, врачевателя, да и просто красивейшей женщины. Дорога Комсомольск - Хабаровск... занос на повороте авто от японского производителя... скорость слегка подкачала, как и лопнувшее колесо... Новая жизнь, и как ей теперь распорядиться на фоне опыта прошлого?",***,3,закончено,51,ссылка на обзор,ссылка,,,,,,https://author.today/work/70218,,,https://author.today/post/85843,2016,,,,+++++,
2016,Москаленко Юрий,5. Нечестный штрафной. книга 3. часть 1.,Спартаковская футболка - или игра в офсайде,"Отстёгнутая чека. Твоё тело на ящике, забитом эфками. Верный АК, отброшенный точным попаданием снайпера... Развалины Пальмиры... Сильная боль в перебитых ногах... и ухмылки бандерлогов в чёрном... бородатые твари что-то там щебечут не по-нашему... Сползающие ухмылочки с лиц ублюдков Игил... Щелчок взрывателя гранаты и последние мысли о любимой... Забытая богиня здоровья и счастья... и это высвобождение энергии на месте храма ей посвящённого... столько крови и душа того, кто столько жертв принес в честь неё, врачевателя, да и просто красивейшей женщины. Дорога Комсомольск - Хабаровск... занос на повороте авто от японского производителя... скорость слегка подкачала, как и лопнувшее колесо... Новая жизнь, и как ей теперь распорядиться на фоне опыта прошлого?",***,3,закончено,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/113856,,,#Н/Д,2016,,,,+++++,
2016,Самылов Алексей,1. Шин Кён,Шин Кён,"Здесь не будет магии и роботов. Это Южная Корея, совершенно обычная. Необычен человек, про которого идёт повествование, да и то, сразу он этого не показывает. Он не рвётся в властелины мира, начинает вообще с самого низа. С другой стороны, в наличии бурное прошлое того, кто попал в юного корейского парня. Своя система морали и стремление к тому, чтобы жить так, как он этого желает. Что из этого выйдет? Что же, давайте смотреть...",****,4,закончено,4 неф,ссылка на обзор,ссылка,19.09.23 WV,,,,,https://author.today/work/276640,,,https://boosty.to/popal/posts/fc443f76-de5b-4ea3-8e45-c99e20281f31?share=post_link,2016,,,,,
2016,Самылов Алексей,2. Студент Кён,Шин Кён,"Магии и роботов всё ещё не предвидится. Герой по-прежнему в Южной Корее и строит такую жизнь, какая ему нравится. Преумножает полученное, добывает новое. И всё также не рвётся наверх... Тем путём, который все считают самым лучшим. Потому что, Шин Кён сам по себе кот, свой, собственный.",****,4,закончено,4 неф,ссылка на обзор,ссылка,19.09.23 WV,,,,,https://author.today/work/286643,,,https://boosty.to/popal/posts/fc443f76-de5b-4ea3-8e45-c99e20281f31?share=post_link,2016,,,,,
2016,Таликин Иван,"Привет, я Тим! Иван Таликин https://author.today/work/227197",Исправить всё,"Привет, я Тим! А у вас, бывало, что вы сожалели, о том что сделали не тот выбор в прошлом? Вот это вот, мерзкое, "" а чтобы было бы..."", "" а если бы..."", "" а вот если бы я тогда..."". Я вот жалел, очень сильно, эти проклятые ""если"", заказывали меня все глубже, на самое дно моей самооценки. Но внезапно, лёжа с пулей в черепе, я понял, что вообщем и целом, ни о чем и не жалею.... Страно да? Вот и конец моей истории.... Или это только начало?",**,2,закончено,272,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил статус завершено и название цикла. Ivlaoox 09/02/22,,,https://author.today/work/227197,,,https://dzen.ru/a/Y1p34EgLAB4ZSi6z?&,2016,,,,+++++,
2015,Амарант,1. Гостья из грядущего,Гостья из грядущего,"О фигуристке из немыслимо далекого будущего. Которая прибыла в наш мир в поисках брата, застрявшего во времени. Она пойдет кататься в спортшколу. А брата судьба занесет в интерны хирургического отделения.. Этот роман вовсе не комедия. Все очень реально ... порой до слез",***,3,закончено,109,ссылка на обзор,ссылка,,,просмотрено pesh 14/02/23,,,https://author.today/work/103215,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-109-5fdde6ce3713a37b86d9ce45,2015,,,,+++++,
2015,Амарант,2. Хозяйка чужого тела или Гостья из грядущего. Книга 2. Возвращение,Гостья из грядущего,"О фигуристке из немыслимо далекого будущего. Которая прибыла в наш мир в поисках брата, застрявшего во времени. Она пойдет кататься в спортшколу. А брата судьба занесет в интерны хирургического отделения.. Этот роман вовсе не комедия. Все очень реально ... порой до слез",***,3,закончено,#Н/Д,#Н/Д,ссылка,,,завершено 14.02.23 pesh,,,https://author.today/work/115917,,,#Н/Д,2015,,,,+++++,
2015,Смит Даниил,1. Рейсер. На открытых колёсах,Рейсер,"Авария на картинге перебросила сознание программиста и по совместительству гоночного фаната Михаила Шумилова, не сумевшего в свое время реализовать себя в автоспорте, в тело подростка-гонщика на несколько лет назад. Сможет ли он использовать знания о ближайшем будущем, чтобы менять ход событий, и чего достигнет в чемпионате F4 - нижней ступени гонок на автомобилях с открытыми колесами? Ведь от этого зависит и его будущее тоже. Мечта исполнилась, пусть и таким неожиданным образом. Теперь главное - не упустить полученный второй шанс. Гоняй, рейсер... Если сможешь выжить.",***,3,закончено,158,ссылка на обзор,ссылка,,,добавил статус завершено и название цикла. Исправил фамилию. Ivlaoox 09/02/22,,,https://author.today/work/143252,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-158-611f370b3619883ae346c31a,2015,,,,+++++,
2015,Смит Даниил,2. Рейсер. На ступень выше. Год надежд,Рейсер,"Первый рубеж пройден, деньги собраны - и вот уже Михаил Жумакин в чемпионате Европы класса ""Формула-3"". Жизнь подростка круто меняется: теперь большую часть времени занимают разъезды между европейскими трассами и занятия на базе команды ""Hitech GP"". И вариантов всего два: либо бороться за места и очки с сильнейшими юниорами Европы и мира, либо сдаться и положить шлем на полку. Но Жумакин знает, чего хочет, и планирует добиваться этого всеми силами. К тому же, у отца новый бизнес, а IT-компания ""Косогор Студио"", где подрабатывает гонщик, готовится заключить выгодный контракт... Как всё пойдёт? Неизвестно. И от этого только сильнее хочется узнать, что ждёт там, за следующим поворотом.",***,3,закончено,220,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил статус завершено. Ivlaoox 09/02/22,,,https://author.today/work/179530,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-220-6273748da4797a5ee6b6f223,2015,,,,+++++,
2015,Смит Даниил,3. На пути к вершине,Рейсер,"Михаилу Жумакину уже семнадцать - самое время задуматься о своём будущем в автоспорте. Но юный гонщик знает, чего хочет, и не собирается останавливаться на достигнутом. Переход в молодёжную программу ""Ред Булл"", смена команды, новый виток борьбы с соперниками за титул чемпиона ""Формулы-3"" - очередной вызов, который подросток сам себе бросил на пути к вершине. Но жизнь, как обычно, перекручивает всё по-своему. В стартап ""Косогор Студио"" приходят новые программисты. Команда и спонсоры требуют результатов, которых не всегда получается добиться. И завязывающиеся понемногу отношения начинают отвлекать от основного занятия. И как будто этого было мало - у Жумакина крепнет подозрение, что он здесь не единственный попаданец.",***,3,закончено,323,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/259622,,,https://dzen.ru/a/ZD9y26j8jHxaKum2,2015,,,,,
2014,Zhukov Dmitry,Проклятый 2014 год,,"Фантастика, мистика, приключения, любовь, книга в котрой собрано все то, от чего вы просто не сможете оторваться",**,2,застой,251,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил статус заморожено. Ivlaoox 09/02/22,,,https://litmarket.ru/books/proklyatyy-2014-god,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-251-630997eb565c9b2fdf2b5758?&,2014,,,,+++++,
2013,Волынец Олег,Вторая жизнь Фай Родис,,"После взрыва СДФ не нашли тела Фай Родис, вроде испарилось. А испарилось ли? Бывают невероятные совпадения. Или псевдосовпадения. Попала из далекого будущего в 2013 год женщина, невероятно похожая на Фай Родис внешне, по характеру и истории жизни. Или ей помогли. Ясно одно: в наше время попала женщина-историк из коммунистического будущего и имеет шанс изменить ход истории или помочь истории идти в счастливое будущее. Но главное это не в технике, а в человечестве многое поменять, чтобы выжить и процветать.",**,2,закончено,#Н/Д,#Н/Д,ссылка,,,,,,http://samlib.ru/editors/w/wolynec_o_a/wtorajazhiznxfajrodis.shtml,,,#Н/Д,2013,,,,+++++,
2013,Салимова Саодат,Переиграть судьбу,,В вашей жизни есть такие моменты которые вы бы изменили если бы паевился такой шанс? -Я заберу у тебя дочь:-кричет на меня Вадим:-Ты её больше никогда не увидишь. За что:-плача шепчу я. Мой муж изменил мне и последствия этому беременая любовница. Но это тварь обвинила меня в том что я сталкнула её с лестницы и она потеряла ребенка. Но я этого не делала . Теперь муж в отместку забрал у меня единственный смесал жизнь-мою дочь . Я стаю над болконом собираясь свести счёте с жизнью. И единственая чего я сейчас хочу это второй шанс. Вернуться назад и пере играть судьбу.,**,2,пишется,357,ссылка на обзор,ссылка,19.10.23 WV,,,,,https://litnet.com/ru/book/pereigrat-sudbu-b450953,,,https://boosty.to/popal/posts/eddc4bfa-a6f0-47b8-b5d3-6218bfa3dcfd,2013,,,,,
2012,"Дашко Дмитрий, Лобанов Сергей",Зона Захвата,,"Андрей Липатов - наш современник попaдает в параллельный мир, где существует Советский Союз, охваченный гражданской войной.",***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/8091,,,#Н/Д,2012,,,,+++++,
2011,Машков Александр,"Отклонение от нормы, или приключения томбоя, обыкновенные и невероятные",,"Мужчина 60 лет после смерти попадает в тело девочки, которая считает себя мальчиком, но затем сама влюбляется в мальчика.",***,3,издано,#Н/Д,#Н/Д,ссылка,,,,,,https://author.today/work/30414,,,#Н/Д,2011,,,,+++++,
2010,Арда Яна,Проснись со мной,,"Тебе двадцать пять. У тебя есть всё: перспективный молодой человек, хорошая работа и собственная «трешка» в центре, но ты все ещё влюблена в своего школьного друга, с которым не виделась семь лет. В восемнадцать, уезжая из родного провинциального городка, ты лелеяла надежду, что судьба рано или поздно сведёт вас. Она теплилась в глубине души много лет, ровно до того рокового телефонного звонка. Четвёртое сентября - день, когда твоей мечты не стало, когда имея все, потеряла себя. Но в эту же ночь, погрузившись во владения Морфея, вы с НИМ встретились вновь… Сон или реальность? Игра воображения или шанс все изменить? И сможет ли ОН услышать, если попросишь проснуться с тобой?",***,3,пишется,177,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,,,,https://litnet.com/ru/book/prosnis-so-mnoi-b361312,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-177-617826db6f33ac4d989ed8aa,,,,,+++++,
2010,Вирона,"Назад в прошлое. Ну, держись, одноклассник!",,"Ника красивая, успешная, 28-летняя женщина, просыпается однажды в своем 17-летнем теле, 11 лет назад, когда она была закомплексованной замухрышкой, над которой издевался одноклассник – самый красивый мальчик в школе",*,1,закончено,180,ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,,,,https://litnet.com/book/370810,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-180-618cacff0c9dd323b706d273,,,,,+++++,
2010,Кузмичев Иван,Совершенный,Совершенный,"Путь Второго шанса для простого человека с потерянной детской мечтой. Элемент РеалРПГ присутствует, но он как бонус, и тонны циферок с прочими описаниями не подразумевается))) Для тех кому это прям критиииииично - буду выкладывать таблицу прогресса, чтоб понимание было.",***,3,закончено,325,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/268377,,,https://dzen.ru/a/ZEjBJIeb73DTU0pt,2010,,,,,
2010,Маслов Дмитрий,Повторный шанс: Снова за школьной партой,,"Хоренко Антон - безработный 28-летний мужчина, который однажды засыпает с мыслями пойти на собеседование по работе, а просыпается... в теле подростка, и на несколько десятков лет назад, когда ещё был школьником. Вскоре Антон узнаёт, что был выбран в качестве подопытного для эксперимента, где даётся второй шанс на школьную жизнь. Сможет ли он воспользоваться этим шансом, или же проведёт год исключительно так, как и в прошлый раз?",**,2,пишется,364,ссылка на обзор,ссылка,14.12.23 WV,,,,,https://litnet.com/ru/book/povtornyi-shans-snova-za-shkolnoi-partoi-b458476,,,https://boosty.to/popal/posts/749a9701-2e98-497a-b2f2-3dda372d5532,2010,,,,,
2008,Гавряев Виталий,Контра,,"Он потерял всё, друзей, семью, жизнь, весь мир. Новый мир встретил его сурово. Пусть новые родственники от него и не отвернулись, решив, что после тяжёлой травмы он стал немного чудаковатым, однако, друзья, посчитали его предателем их идеалов - контрой. И ему предстоит извернуться, но вписаться в новые реалии чужого мира. А самое главное, постараться вернуть друзей, или найти новых, потому что в одиночку ему не выжить.",**,2,закончено,11,ссылка на обзор,ссылка,,,,,,http://samlib.ru/g/gawrjaew_w_w/kontra.shtml,,,https://author.today/post/60052,2008,,,,+++++,
2008,Кресо Михаил,1. Президент,Президент,"Последнее, что он запомнил - фары встречной машины, несущейся с огромной скоростью и звуки песни highway to hell, которую включил засыпающий таксист... Внезапно стать президентом самой большой в мире страны? Как оказалось, это очень просто. Вот только хотел ли ты этого в свои тридцать лет? Да и что ты можешь сделать для этой самой страны, если в прошлой жизни был обычным продажником не семи пядей во лбу?",***,3,закончено,82,ссылка на обзор,ссылка,,,,,,https://author.today/work/36275,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-82-5f5790bb692a906cd0e5dd9b,2008,,,,+++++,
2008,Кресо Михаил,2. Эпоха Перемен,Президент,"Последнее, что он запомнил - фары встречной машины, несущейся с огромной скоростью и звуки песни highway to hell, которую включил засыпающий таксист... Внезапно стать президентом самой большой в мире страны? Как оказалось, это очень просто. Вот только хотел ли ты этого в свои тридцать лет? Да и что ты можешь сделать для этой самой страны, если в прошлой жизни был обычным продажником не семи пядей во лбу?",***,3,закончено,98,ссылка на обзор,ссылка,,,,,,https://author.today/work/90531,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-98-5faa3ea79c3dc81f90514e3a,2008,,,,+++++,
2008,Кресо Михаил,"3. Иди туда, где страшно",Президент,"Последнее, что он запомнил - фары встречной машины, несущейся с огромной скоростью и звуки песни highway to hell, которую включил засыпающий таксист... Внезапно стать президентом самой большой в мире страны? Как оказалось, это очень просто. Вот только хотел ли ты этого в свои тридцать лет? Да и что ты можешь сделать для этой самой страны, если в прошлой жизни был обычным продажником не семи пядей во лбу?",***,3,закончено,118,ссылка на обзор,ссылка,,,,,,https://author.today/work/114751,,,https://zen.yandex.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-118-602de31f5f462a3bfd963ddb,2008,,,,+++++,
2008,Обухова Оксана,3. Циклопы,Уничтоженная вероятность,"Хотите стать Наполеоном при Аустерлице? Пережить первое свидание юной Анриетты и искусителя Джакомо Казановы? Тогда вставайте в очередь! И может быть, вы выиграете фешенебельную поездку Клеопатры и Цезаря по Нилу! Отправитесь в сказочное свадебное путешествие… Примерно так должен звучать рекламный призыв далекого будущего, хотя возможны варианты: «Желаете испытать муки творчества или настоящие лишения? Мечтаете взойти на костер Джордано Бруно? Тогда вперед, решайтесь! Мы гарантируем вам полную безопасность и массу впечатлений!»Бестелесные путешествия разума стали реальностью, но люди все-таки остались прежними. В свадебное путешествие стилиста Иннокентия и богатой наследницы Жюли, отправившихся в наше время, вмешиваются хроно-террористы.",****,4,закончено,"спецвыпуск ""О ЛЫР - ты Мир!""",ссылка на обзор,ссылка,07.02.23 16:50 ИВМ,,добавил статус завершено. Ivlaoox 09/02/22,,,https://litnet.com/ru/book/ciklopy-b55610,,,https://zen.yandex.ru/media/backinussr/o-lyr-ty-mir-6305f4a5b7ca3f07681bcd8c?&,2008,,,,+++++,
2008,Тард Роман Евгеньевич,РНО,,Живешь себе обычной унылой жизнью одинокого домоседа как вдруг ты внезапно и нелепо умираешь. Думаешь попадешь в Ад? В Рай? А как насчет шестого класса?,***,3,пишется,320,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/263605,,,https://dzen.ru/a/ZC5X1NFMhVBtBJOI,2008,,,,,
2007,Корнеев Андрей,Верните мой 2007!,,"Бомжара из 2023 попадает в 2007, его мечта все исправить... Теперь про название... Известный интернет мэм от президента РФ Медведева, который он произнес в 2011 году, дескать никто не может вернуть 2007 год или вернуться, уже точно не помню. Потому мы попробуем. Закинем попаданца из наших 20х в такой близкий и одновременно далекий 2007 год. Рассказ-песочница, ГГ будет не Мери Сью, но знания о 2007 в том же 2023 есть у всех - это вам не в какой условный 18 век забрасывать. Про ошибки и прочее писать о черновике бестактно, желаете идеальный текст, ждите как выйдет после вычитки, правки, верстки и возможно за деньги.",**,2,пишется,342,ссылка на обзор,ссылка,13.08.23 WV,,,,,https://author.today/work/281752,,,https://dzen.ru/media/backinussr/novosti-janra-popadancy-v-proshloe-342-64a3b2382eeb3e21722e3da0,2007,,,,,
